fecha,indice
2015-12-01,100
2016-01-01,104.163
2016-02-01,107.67
2016-03-01,111.044
2016-04-01,116.551
2016-05-01,121.436
2016-06-01,125.172
2016-07-01,127.735
2016-08-01,127.991
2016-09-01,129.463
2016-10-01,132.519
2016-11-01,134.663
2016-12-01,136.274
