fecha,salario_real
2015-12-01,1712725.9262154966
2016-01-01,1644274.7676386978
2016-02-01,1590717.8659008977
2016-03-01,1542384.9340941398
2016-04-01,1469507.7058244857
2016-05-01,1410393.891609981
2016-06-01,1464171.7476926816
2016-07-01,1568833.0619499919
2016-08-01,1752997.8471037357
2016-09-01,1733066.1845365413
2016-10-01,1693100.2154306492
2016-11-01,1666143.9849747457
2016-12-01,1646447.2125912076
2017-01-01,1620743.8360945832
2017-02-01,1587918.1379447035
2017-03-01,1551092.2645365582
2017-04-01,1510963.636222082
2017-05-01,1489591.7153709328
2017-06-01,1545660.0245233758
2017-07-01,1591703.63272768
2017-08-01,1712309.3116869095
2017-09-01,1680414.297720185
2017-10-01,1655340.3168599969
2017-11-01,1632886.7693449913
2017-12-01,1583144.772493003
2018-01-01,1555803.7980554793
2018-02-01,1519057.283836364
2018-03-01,1499167.4166355208
2018-04-01,1473662.063267799
2018-05-01,1457868.4213937405
2018-06-01,1461569.0567391908
2018-07-01,1500221.8932140132
2018-08-01,1523517.2196157672
2018-09-01,1430072.2091727655
2018-10-01,1356912.8015246415
2018-11-01,1315432.4161648382
2018-12-01,1282475.0711022113
2019-01-01,1300440.9110436656
2019-02-01,1305466.994188104
2019-03-01,1247108.070822559
2019-04-01,1205579.4985593115
2019-05-01,1197860.254755689
2019-06-01,1212779.0279448046
2019-07-01,1266586.9280289034
2019-08-01,1295262.3440423687
2019-09-01,1223265.092032566
2019-10-01,1184261.6467852984
2019-11-01,1135932.9553876484
2019-12-01,1094978.2726358252
2020-01-01,1070853.0779765765
2020-02-01,1244266.5706997456
2020-03-01,1238078.2680994666
2020-04-01,1313805.0054597699
2020-05-01,1386398.798681079
2020-06-01,1468710.9756975777
2020-07-01,1440842.2814377295
2020-08-01,1402960.7917656295
2020-09-01,1364276.4380403615
2020-10-01,1406863.1875447703
2020-11-01,1363772.0157769716
2020-12-01,1311249.052024604
2021-01-01,1260222.2811073314
2021-02-01,1258079.8154600342
2021-03-01,1259513.6928165513
2021-04-01,1331152.520018575
2021-05-01,1361715.8018053405
2021-06-01,1344549.2067972242
2021-07-01,1305425.179182863
2021-08-01,1401362.7066233323
2021-09-01,1476403.6788254778
2021-10-01,1545096.00717791
2021-11-01,1506977.543660704
2021-12-01,1451249.975536571
2022-01-01,1444140.2014320705
2022-02-01,1442293.0510532663
2022-03-01,1351362.5940937188
2022-04-01,1329880.7896583397
2022-05-01,1341521.558631931
2022-06-01,1487211.930199794
2022-07-01,1384661.1962042123
2022-08-01,1557784.1654004618
2022-09-01,1467316.4762439448
2022-10-01,1498342.9613206082
2022-11-01,1527503.459916371
2022-12-01,1453040.8174460258
2023-01-01,1454955.1565047875
2023-02-01,1500974.5809199384
2023-03-01,1495358.8278005018
2023-04-01,1439420.1572166032
2023-05-01,1409064.8895341994
2023-06-01,1561830.6914598797
2023-07-01,1630202.302974789
2023-08-01,1623801.9949269046
2023-09-01,1598603.8927704615
2023-10-01,1786038.6194753938
2023-11-01,1763735.9149484085
2023-12-01,1738499.973725446
2024-01-01,1473651.6221514612
2024-02-01,1301344.7760192808
2024-03-01,1312952.6995122868
2024-04-01,1302916.230932478
2024-05-01,1338231.4516999233
2024-06-01,1305254.085311826
2024-07-01,1298592.5805978766
2024-08-01,1283979.250584251
2024-09-01,1265748.5049273465
2024-10-01,1244895.993263841
2024-11-01,1239711.4766518374
2024-12-01,1219141.744020234
2025-01-01,1192769.047683808
2025-02-01,1196454.8262456765
2025-03-01,1153439.210527178
2025-04-01,1151598.9941695305
2025-05-01,1149317.4378371767
2025-06-01,1145709.91342577
2025-07-01,1167783.0665037371
2025-08-01,1160816.3122916375
2025-09-01,1144975.3229365891
2025-10-01,1130842.090770601
2025-11-01,1115691.5280014891
2025-12-01,1084825.2982512137
2026-01-01,1075909.0
