fecha,indice
2015-12-01,100.0
2016-01-01,104.163
2016-02-01,107.67
2016-03-01,111.044
2016-04-01,116.551
2016-05-01,121.436
2016-06-01,125.172
2016-07-01,127.735
2016-08-01,127.991
2016-09-01,129.463
2016-10-01,132.519
2016-11-01,134.663
2016-12-01,136.274
2017-01-01,138.435169366
2017-02-01,141.29692336600002
2017-03-01,144.651580424
2017-04-01,148.493280758
2017-05-01,150.623788474
2017-06-01,152.419334698
2017-07-01,155.059643448
2017-08-01,157.235530406
2017-09-01,160.219931006
2017-10-01,162.646834672
2017-11-01,164.88336356
2017-12-01,170.063955944
2018-01-01,173.052581038
2018-02-01,177.238782044
2018-03-01,181.388052796
2018-04-01,186.35633028800004
2018-05-01,190.22392268200002
2018-06-01,197.331974522
2018-07-01,203.45244868400002
2018-08-01,211.365607316
2018-09-01,225.176840942
2018-10-01,237.31749160200002
2018-11-01,244.800978312
2018-12-01,251.091931248
2019-01-01,258.389267674
2019-02-01,268.119231274
2019-03-01,280.66597845399997
2019-04-01,290.334073658
2019-05-01,299.215595334
2019-06-01,307.34829138000003
2019-07-01,314.10339356000003
2019-08-01,326.52299709799996
2019-09-01,345.741037948
2019-10-01,357.127957114
2019-11-01,372.32209929199996
2019-12-01,386.260749108
2020-01-01,394.962797926
2020-02-01,402.91588484
2020-03-01,416.38725111
2020-04-01,422.618788582
2020-05-01,429.138681838
2020-06-01,438.766576212
2020-07-01,447.253175836
2020-08-01,459.32950516799997
2020-09-01,472.353892718
2020-10-01,490.11898018
2020-11-01,505.60529381399994
2020-12-01,525.857654324
2021-01-01,547.149785454
2021-02-01,566.7083750300001
2021-03-01,593.971624018
2021-04-01,618.207409822
2021-05-01,638.7503065
2021-06-01,659.027741426
2021-07-01,678.779022438
2021-08-01,695.5345921080001
2021-09-01,720.203729232
2021-10-01,745.5280717479999
2021-11-01,764.385940416
2021-12-01,793.7381335499999
2022-01-01,824.500898858
2022-02-01,863.2059854339999
2022-03-01,921.289371084
2022-04-01,977.0026793259999
2022-05-01,1026.3435427800002
2022-06-01,1080.6907041719999
2022-07-01,1160.72878514
2022-08-01,1241.6354765840001
2022-09-01,1318.188758824
2022-10-01,1401.85881444
2022-11-01,1470.776255638
2022-12-01,1546.1477697500002
2023-01-01,1639.3476024600002
2023-02-01,1747.998998934
2023-03-01,1882.1621146740001
2023-04-01,2040.3143602779999
2023-05-01,2198.90295523
2023-06-01,2329.7559755099996
2023-07-01,2477.575517612
2023-08-01,2785.826487968
2023-09-01,3141.012404308
2023-10-01,3401.7710680200003
2023-11-01,3837.5614200720006
2023-12-01,4814.822338628
2024-01-01,5807.360662776
2024-02-01,6576.294475393999
2024-03-01,7300.324778546
2024-04-01,7945.083678254
2024-05-01,8276.89642321
2024-06-01,8655.73541773
2024-07-01,9004.642373246
2024-08-01,9380.340660888001
2024-09-01,9705.764199354
2024-10-01,9967.017946508
2024-11-01,10208.873226036001
2024-12-01,10484.93178055
2025-01-01,10716.758656418
2025-02-01,10974.135271997999
2025-03-01,11383.397573292
2025-04-01,11699.951173372001
2025-05-01,11875.580150654001
2025-06-01,12053.845509678456
