fecha,salario_real
2015-12-01,2491422.4540265827
2016-01-01,2391849.7489766832
2016-02-01,2313943.0240796716
2016-03-01,2243635.364384012
2016-04-01,2137624.262362899
2016-05-01,2051634.1562852715
2016-06-01,2129742.0191130443
2016-07-01,2282075.840330733
2016-08-01,2550059.0095566534
2016-09-01,2521064.7265409087
2016-10-01,2462926.8459025924
2016-11-01,2423714.0320070516
2016-12-01,2395061.4401291925
2017-01-01,2357671.133621096
2017-02-01,2309920.095335231
2017-03-01,2256350.0636182004
2017-04-01,2197975.5651306254
2017-05-01,2166886.1605383446
2017-06-01,2248361.994893367
2017-07-01,2315343.907080982
2017-08-01,2490922.517444271
2017-09-01,2444524.353314892
2017-10-01,2408048.8502616035
2017-11-01,2375385.331632173
2017-12-01,2303024.888822227
2018-01-01,2263251.555575442
2018-02-01,2209795.8399046534
2018-03-01,2180843.400861608
2018-04-01,2143651.506137756
2018-05-01,2120660.940628594
2018-06-01,2064124.9776992172
2018-07-01,2062086.070876862
2018-08-01,2100564.0260484754
2018-09-01,2080250.3273750644
2018-10-01,1973829.210501105
2018-11-01,1913489.8901011313
2018-12-01,1865548.5851682834
2019-01-01,1891657.878515766
2019-02-01,1898995.8790814644
2019-03-01,1814104.1464890793
2019-04-01,1753694.662416991
2019-05-01,1742475.7480215202
2019-06-01,1764216.1622903466
2019-07-01,1842465.7278945595
2019-08-01,1884157.188505124
2019-09-01,1779426.1735483212
2019-10-01,1722689.6968977645
2019-11-01,1652388.2234342934
2019-12-01,1592759.9519629586
2020-01-01,1623655.330157539
2020-02-01,1656324.8101855288
2020-03-01,1602737.7752304096
2020-04-01,1579105.3178622716
2020-05-01,1555114.010277628
2020-06-01,1520990.0039329738
2020-07-01,1492129.318547436
2020-08-01,1452899.4305172279
2020-09-01,1412838.100345174
2020-10-01,1456942.9912642285
2020-11-01,1412317.9124020673
2020-12-01,1493715.296243952
2021-01-01,1435587.9190539503
2021-02-01,1433136.8847530056
2021-03-01,1434767.0542302306
2021-04-01,1516375.6678286896
2021-05-01,1551194.723304152
2021-06-01,1653811.083330976
2021-07-01,1605688.0766265169
2021-08-01,1695207.1353353525
2021-09-01,1788479.9630915988
2021-10-01,1794178.6886168483
2021-11-01,1749915.2030032226
2021-12-01,1853729.2982090532
2022-01-01,1844650.835911266
2022-02-01,1842283.914666462
2022-03-01,1726135.7309894275
2022-04-01,1698690.0515714632
2022-05-01,1713577.6287411486
2022-06-01,1887780.6186195046
2022-07-01,1757608.6611930637
2022-08-01,1977364.8768099938
2022-09-01,1862530.2065151688
2022-10-01,1901913.18827209
2022-11-01,1932370.3094616206
2022-12-01,1838171.2433059025
2023-01-01,1840948.7802979457
2023-02-01,1899167.2612267134
2023-03-01,1892070.3509329348
2023-04-01,1821288.4412536814
2023-05-01,1782882.7178335795
2023-06-01,1968812.5956537607
2023-07-01,2054992.8338038828
2023-08-01,2046922.1907838183
2023-09-01,2015157.9425150084
2023-10-01,2251430.8161694277
2023-11-01,2195338.611759079
2023-12-01,1907228.49735581
2024-01-01,1834267.005790145
2024-02-01,1814169.5413529293
2024-03-01,1764983.108260982
2024-04-01,1654187.7185543624
2024-05-01,1699023.2390479194
2024-06-01,1624661.4171478886
2024-07-01,1616370.083678397
2024-08-01,1598180.7332948204
2024-09-01,1575487.3286369399
2024-10-01,1549532.7702417213
2024-11-01,1543080.226664488
2024-12-01,1517476.0746456825
2025-01-01,1506919.1601302016
2025-02-01,1489236.3412517025
2025-03-01,1454358.4849408315
2025-04-01,1433405.3100941326
2025-05-01,1430564.9109041635
2025-06-01,1426075.1689990633
2025-07-01,1417654.319824336
2025-08-01,1409641.0631553004
2025-09-01,1397543.7949556564
2025-10-01,1384181.6655404812
2025-11-01,1370947.0
