 2016-12-01, 128.6
 2017-01-01, 126.6
 2017-02-01, 124.0
 2017-03-01, 126.0
 2017-04-01, 122.7
 2017-05-01, 121.0
 2017-06-01, 126.8
 2017-07-01, 124.6
 2017-08-01, 122.9
 2017-09-01, 130.2
 2017-10-01, 128.3
 2017-11-01, 133.8
 2017-12-01, 129.8
 2018-01-01, 127.5
 2018-02-01, 127.3
 2018-03-01, 124.4
 2018-04-01, 121.0
 2018-05-01, 124.5
 2018-06-01, 120.0
 2018-07-01, 116.4
 2018-08-01, 118.2
 2018-09-01, 115.2
 2018-10-01, 118.8
 2018-11-01, 115.2
 2018-12-01, 112.3
 2019-01-01, 109.5
 2019-02-01, 105.5
 2019-03-01, 100.5
 2019-04-01, 97.1
 2019-05-01, 98.6
 2019-06-01, 99.6
 2019-07-01, 101.6
 2019-08-01, 97.8
 2019-09-01, 99.8
 2019-10-01, 103.2
 2019-11-01, 99.0
 2019-12-01, 95.4
 2020-01-01, 104.7
 2020-02-01, 102.7
 2020-03-01, 109.0
 2020-04-01, 107.4
 2020-05-01, 108.9
 2020-06-01, 109.4
 2020-07-01, 107.3
 2020-08-01, 104.5
 2020-09-01, 101.6
 2020-10-01, 104.7
 2020-11-01, 101.5
 2020-12-01, 97.6
 2021-01-01, 95.7
 2021-02-01, 96.0
 2021-03-01, 95.1
 2021-04-01, 98.7
 2021-05-01, 95.5
 2021-06-01, 97.7
 2021-07-01, 94.8
 2021-08-01, 95.8
 2021-09-01, 97.2
 2021-10-01, 99.2
 2021-11-01, 96.8
 2021-12-01, 98.2
 2022-01-01, 97.3
 2022-02-01, 98.1
 2022-03-01, 106.0
 2022-04-01, 99.9
 2022-05-01, 95.1
 2022-06-01, 103.1
 2022-07-01, 105.0
 2022-08-01, 103.0
 2022-09-01, 100.3
 2022-10-01, 99.8
 2022-11-01, 99.3
 2022-12-01, 103.9
 2023-01-01, 99.1
 2023-02-01, 94.9
 2023-03-01, 104.8
 2023-04-01, 103.3
 2023-05-01, 103.5
 2023-06-01, 105.5
 2023-07-01, 110.3
 2023-08-01, 107.1
 2023-09-01, 104.5
 2023-10-01, 108.0
 2023-11-01, 104.4
 2023-12-01, 87.8
 2024-01-01, 72.8
 2024-02-01, 74.5
 2024-03-01, 75.2
 2024-04-01, 74.6
 2024-05-01, 78.1
 2024-06-01, 77.7
 2024-07-01, 80.2
 2024-08-01, 79.3
 2024-09-01, 78.2
 2024-10-01, 81.3
 2024-11-01, 81.0
 2024-12-01, 78.9
 2025-01-01, 79.1
 2025-02-01, 78.2
 2025-03-01, 76.3
 2025-04-01, 75.2
 2025-05-01, 75.1
 2025-06-01, 73.9
 2025-07-01, 72.5
 2025-08-01, 74.0
 2025-09-01, 73.4
 2025-10-01, 72.5
 2025-11-01, 71.5
 2025-12-01, 69.5
 2026-01-01, 68.9
 2026-02-01, 67.2
