fecha,salario,indice,ajustado,salario_indice,nominal,salario_real_indice,salario_real
2015-12-01,18698,100.0,1869800.0,1.0,18698,0.01,2253828.033399678
2016-01-01,18698,104.163,1947639.774,1.0,18698,0.009600337931895204,2163751.07610157
2016-02-01,18698,107.67,2013213.66,1.0,18698,0.009287638153617534,2093273.9234695625
2016-03-01,18698,111.044,2076300.712,1.0,18698,0.009005439285328338,2029671.1514351768
2016-04-01,18698,116.551,2179270.598,1.0,18698,0.008579934964092971,1933769.7946818797
2016-05-01,18698,121.436,2270610.328,1.0,18698,0.008234790342237886,1855980.1322504678
2016-06-01,20007,125.172,2504316.204,1.0700074874318108,20007,0.008548297442174056,1926639.241301065
2016-07-01,21877,127.735,2794458.595,1.1700181837629693,21877,0.00915973056533424,2064445.7526538193
2016-08-01,24495,127.991,3135139.545,1.310033158626591,24495,0.010235353725079036,2306872.715734495
2016-09-01,24495,129.463,3171196.185,1.310033158626591,24495,0.010118977303373095,2280643.471567736
2016-10-01,24495,132.519,3246052.9050000003,1.310033158626591,24495,0.009885625145274194,2228049.9080099743
2016-11-01,24495,134.663,3298570.185,1.310033158626591,24495,0.009728233877357485,2192576.6228256742
2016-12-01,24495,136.274,3338031.63,1.310033158626591,24495,0.009613228925742187,2166656.4844326414
2017-01-01,24495,138.435169366,3390969.47362017,1.310033158626591,24495,0.009463152785713557,2132831.903278547
2017-02-01,24495,141.29692336600002,3461068.1378501705,1.310033158626591,24495,0.00927149103758774,2089634.6411929117
2017-03-01,24495,144.651580424,3543240.46248588,1.310033158626591,24495,0.009056473180497899,2041173.3137938504
2017-04-01,24495,148.493280758,3637342.91216721,1.310033158626591,24495,0.008822171292461082,1988365.6974402657
2017-05-01,24495,150.623788474,3689529.6986706303,1.310033158626591,24495,0.00869738553185258,1960241.1328974112
2017-06-01,25719,152.419334698,3920072.869097862,1.3754947053160766,25719,0.009024410899322247,2033947.026981008
2017-07-01,26944,155.059643448,4177927.033062912,1.441009733661354,26944,0.009293260977635382,2094541.2113093922
2017-08-01,29394,157.235530406,4621781.180753964,1.5720397903519092,29394,0.00999799336888249,2253375.773253144
2017-09-01,29394,160.219931006,4709504.651990364,1.5720397903519092,29394,0.009811761748249902,2211402.368524426
2017-10-01,29394,162.646834672,4780841.058348768,1.5720397903519092,29394,0.009665357420094564,2178405.350623672
2017-11-01,29394,164.88336356,4846581.58848264,1.5720397903519092,29394,0.009534253525704271,2148856.7873772006
2017-12-01,29394,170.063955944,4998859.921017936,1.5720397903519092,29394,0.00924381525541816,2083396.9958229053
2018-01-01,29394,173.052581038,5086707.567030972,1.5720397903519092,29394,0.009084174191003314,2047416.6451969112
2018-02-01,29394,177.238782044,5209756.759401336,1.5720397903519092,29394,0.008869615172381664,1999058.732098091
2018-03-01,29688,181.388052796,5385048.511407648,1.587763397154776,29688,0.008753406702813393,1972867.3414549467
2018-04-01,29981,186.35633028800004,5587149.138364529,1.6034335223018505,29981,0.008604126942314553,1939222.2505517993
2018-05-01,30275,190.22392268200002,5759029.259197551,1.619157129104717,30275,0.00851184806976925,1918424.1795684875
2018-06-01,30569,197.331974522,6032241.1291630175,1.6348807359075836,30569,0.008284925643032652,1867279.7668898844
2018-07-01,31486,203.45244868400002,6405903.7992644245,1.6839234142689057,31486,0.008276741937298361,1865435.3003497806
2018-08-01,33321,211.365607316,7042913.4013764355,1.782062252647342,33321,0.008431183650342356,1900243.806588263
2018-09-01,35155,225.176840942,7916091.84331601,1.880147609369986,35155,0.008349649109138473,1881867.3231226937
2018-10-01,35155,237.31749160200002,8342896.417268311,1.880147609369986,35155,0.007922499082044659,1785595.052569547
2018-11-01,35155,244.800978312,8605978.39255836,1.880147609369986,35155,0.007680310848160619,1731009.989480806
2018-12-01,35155,251.091931248,8827136.84302344,1.880147609369986,35155,0.007487885413223376,1687640.6055207378
2019-01-01,36683,258.389267674,9478493.506085342,1.961867579420259,36683,0.0075926821461310585,1711259.9869643408
2019-02-01,38212,268.119231274,10245372.065442089,2.043641031126324,38212,0.007622135202371435,1717898.1993467268
2019-03-01,38212,280.66597845399997,10724808.368684247,2.043641031126324,38212,0.007281399200513604,1641102.1640491565
2019-04-01,38212,290.334073658,11094245.622619497,2.043641031126324,38212,0.007038929345694497,1586453.628444591
2019-05-01,39129,299.215595334,11708007.029824086,2.0926837094876456,39129,0.006993899188816289,1576304.6054525417
2019-06-01,40694,307.34829138000003,12507231.369417721,2.176382500802225,40694,0.0070811602401634425,1595971.7458275564
2019-07-01,43433,314.10339356000003,13642452.692491481,2.3228687560166863,43433,0.007395236102640107,1666759.044173965
2019-08-01,46172,326.52299709799996,15076219.822008854,2.4693550112311478,46172,0.007562576091661977,1704474.6000105937
2019-09-01,46172,345.741037948,15963555.204135055,2.4693550112311478,46172,0.007142209747176564,1609731.2548606968
2019-10-01,46172,357.127957114,16489312.03586761,2.4693550112311478,46172,0.006914482504215979,1558405.4504453582
2019-11-01,46172,372.32209929199996,17190855.96851022,2.4693550112311478,46172,0.006632308466048141,1494808.2746933317
2019-12-01,46172,386.260749108,17834431.307814576,2.4693550112311478,46172,0.006392974219963278,1440866.4513754675
2020-01-01,48128,394.962797926,19008769.53858253,2.5739651299604236,48128,0.006516981202980743,1468815.4928416756
2020-02-01,50085,402.91588484,20180042.0922114,2.6786287303454914,50085,0.006648109025061618,1498369.448978128
2020-03-01,50085,416.38725111,20854755.471844353,2.6786287303454914,50085,0.006433022920862336,1449892.7398542212
2020-04-01,50085,422.618788582,21166862.02612947,2.6786287303454914,50085,0.006338167641180869,1428513.9910080156
2020-05-01,50085,429.138681838,21493410.879856233,2.6786287303454914,50085,0.00624187201879106,1406810.6136844333
2020-06-01,50085,438.766576212,21975623.96957802,2.6786287303454914,50085,0.006104906060691485,1375940.8420858067
2020-07-01,50085,447.253175836,22400675.31174606,2.6786287303454914,50085,0.00598906586932252,1349832.455015631
2020-08-01,50085,459.32950516799997,23005518.26633928,2.6786287303454914,50085,0.005831606069733713,1314343.7239709562
2020-09-01,50085,472.353892718,23657844.71678103,2.6786287303454914,50085,0.0056708090515190475,1278102.841237027
2020-10-01,53591,490.11898018,26265966.26682638,2.8661354155524656,53591,0.005847835997903724,1318001.6706799194
2020-11-01,53591,505.60529381399994,27095893.30078607,2.8661354155524656,53591,0.00566872113607032,1277632.2610000558
2020-12-01,58950,525.857654324,30999308.7223998,3.152743608942133,58950,0.005995431621120062,1351267.1860011274
2021-01-01,58950,547.149785454,32254479.852513302,3.152743608942133,58950,0.005762121621460802,1298683.1242306763
2021-02-01,60953,566.7083750300001,34542575.58320359,3.2598673654936356,60953,0.005752283730271441,1296465.8327354647
2021-03-01,63958,593.971624018,37989237.12894325,3.420579741148786,63958,0.005758826857771116,1297940.5411539522
2021-04-01,70354,618.207409822,43493364.11061699,3.762648411594823,70354,0.006086385170760408,1371766.5519927894
2021-05-01,74361,638.7503065,47498111.541646495,3.976949406353621,74361,0.0062261408971294495,1403265.0893846576
2021-06-01,81797,659.027741426,53906492.16542252,4.374638998823404,81797,0.006638019500298405,1496095.4436026267
2021-07-01,81797,678.779022438,55522087.698361084,4.374638998823404,81797,0.00644486475600089,1452561.6858544382
2021-08-01,88489,695.5345921080001,61547160.52104482,4.732538239383891,88489,0.006804173786728123,1533543.7624651087
2021-09-01,96669,720.203729232,69621374.30112821,5.170018183762969,96669,0.007178549588011847,1617921.630061081
2021-10-01,100387,745.5280717479999,74841326.53856647,5.368862979997861,100387,0.007201422969103999,1623076.8968134937
2021-11-01,100387,764.385940416,76734411.400541,5.368862979997861,100387,0.007023759459882237,1583034.5970538768
2021-12-01,110426,793.7381335499999,87649327.1353923,5.905765322494385,110426,0.007440445498165501,1676948.464474784
2022-01-01,114144,824.500898858,94111830.59924756,6.104610118729276,114144,0.007404006626535704,1668735.769436315
2022-02-01,119349,863.2059854339999,103022771.15556246,6.382982137126965,119349,0.007394506345918987,1666594.569558403
2022-03-01,119349,921.289371084,109954965.14950432,6.382982137126965,119349,0.006928314097031938,1561522.8536088758
2022-04-01,124554,977.0026793259999,121689591.7207706,6.661354155524655,124554,0.006818153416037805,1536694.5305085785
2022-05-01,131991,1026.3435427800002,135468110.55507502,7.05909722965023,131991,0.006877908746353723,1550162.3543696855
2022-06-01,153109,1080.6907041719999,165463473.02507073,8.188522836667023,153109,0.007577119711546773,1707752.4818309399
2022-07-01,153109,1160.72878514,177718023.56400025,8.188522836667023,153109,0.007054639241741018,1589994.3688557355
2022-08-01,184259,1241.6354765840001,228782511.27989128,9.854476414589795,184259,0.007936690438083751,1788793.540176833
2022-09-01,184259,1318.188758824,242888142.5121514,9.854476414589795,184259,0.007475770331542883,1684910.0744488956
2022-10-01,200098,1401.85881444,280509145.05181515,10.701572360680286,200098,0.007633844614341736,1720537.299442056
2022-11-01,213297,1470.776255638,313712162.9988185,11.407476735479731,213297,0.007756092533960132,1748089.878268129
2022-12-01,213297,1546.1477697500002,329788680.8443658,11.407476735479731,213297,0.007377999023550142,1662874.1029672762
2023-01-01,226496,1639.3476024600002,371305674.5667802,12.113381110279175,226496,0.00738914742187799,1665386.760235157
2023-02-01,249145,1747.998998934,435505210.58941144,13.324687132313617,249145,0.007622823091111349,1718053.2376393147
2023-03-01,267265,1882.1621146740001,503036057.57834667,14.293774735265805,267265,0.007594337716090709,1711633.1239629725
2023-04-01,278884,2040.3143602779999,569011030.0517697,14.915178093913788,278884,0.007310235316817328,1647601.328779127
2023-05-01,294223,2198.90295523,646967824.1966362,15.735533212108248,294223,0.0071560835255061765,1612858.1659135418
